TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place
A00327,99841254,5823,STC 10450; ESTC S105526,Free,"Erasmus, Desiderius, d. 1536.; Lesse, Nicholas.",1550,"The censure and iudgement of the famous clark Erasmus of Roterodam: whyther dyuorsemente betwene man and wyfe stondeth with the lawe of God With diuers causes wherfore it is permitted, with the mynde of the olde doctours, wrytten by the said Erasmus in the booke of his Annotations, vpon these wordes of Paule. i. cor, vii. She is delyuered fro[m] the bond of the lawe, let her marry to whom she wyll, translated by Nycolas Lesse.; Annotationes in Novum Testamentum. English. Selections",Divorce -- Early works to 1800.,162,  London
A00329,99853331,18711,STC 10453.5; ESTC S118122,Free,"Erasmus, Desiderius, d. 1536.",1534,[Ye dyaloge called Funus]; Colloquia. Selections,Death -- Early works to 1800.,56, London
A00331,99846697,11684,STC 10454; ESTC S111331,Free,"Erasmus, Desiderius, d. 1536.",1540,"A dialoge or communication of two persons deuysyd and set forthe in the late[n] tonge, by the noble and famose clarke. Desiderius Erasmus intituled [the] pylgremage of pure deuotyon. Newly tra[n]slatyd into Englishe.; Colloquia. English. Selections","Dialogues, English -- Early works to 1800.",100,London?
A00332,99850775,16001,STC 10455; ESTC S115556,Free,"Erasmus, Desiderius, d. 1536.; Rastell, John, d. 1536.",1557,"A mery dialogue, declaringe the propertyes of shrowde shrewes, and honest wyues not onelie verie pleasaunte, but also not a lytle profitable: made by ye famous clerke D. Erasmus Roterodamus. Translated into Englyshe.",Marriage -- Early works to 1800.; Husband and wife -- Early works to 1800.; Women -- Early works to 1800.,42,  London
A00333,99857014,22673,STC 10457; ESTC S121852,Free,"Erasmus, Desiderius, d. 1536.; Burton, William, d. 1616.",1606,Seven dialogues both pithie and profitable The 1 is of the right vse of things indifferent. 2 sheweth what comfort poperie affordeth in time of daunger. 3 is betweene a good woman and a shrew. 4 is of the conversion of a harlot. 5 is of putting forth children to nurse. 6 is of a popish pilgrimage. 7 is of a popish funerall. By W.B.; Colloquia. English. Selections,"Dialogues, Latin (Medieval and modern) -- Translations into English -- Early works to 1800.",172,London
A00338,99848668,13778,STC 10460; ESTC S113434,Free,"Erasmus, Desiderius, d. 1536.; Gerrard, Philip.",1545,"A very pleasaunt [and] fruitful diologe called the Epicure, made by that famous clerke Erasmus of Roterodame, newly translated. 1545; Colloquia. English. Selections","Dialogues, English -- Early works to 1800.",94, London
A00341,99851453,16727,STC 10465.5; ESTC S116236,Free,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1537,The comparation of a vyrgin and a martyr; Virginis et martyris comparatio. English,Virginity -- Early works to 1800.,79,Londini
A00342,99855770,21272,STC 10466; ESTC S120574,Free,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1559,"The complaint of peace. Wryten in Latyn, by the famous clerke, Erasimus [sic] Roterodamus. And nuely translated into Englyshe by Thomas Paynell.; Querela pacis. Selections. English",Peace -- Early works to 1800.,96, London
A00344,99841255,5824,STC 10467; ESTC S105527,Free,"Erasmus, Desiderius, d. 1536.; Whittington, Robert, d. ca. 1560.",1532,"De ciuilitate morun [sic] puerilium per Des. Erasmum Roterodamum, libellus nunc primum & conditus & ÃŒ_ditus. Roberto VVhitintoni interprete. = A lytell booke of good maners for chyldren, nowe lately compyled and put forth by Erasmus Roterodam in latyne tonge, with interpretacion of the same in to the vulgare englysshe tonge, by Robert whytyngton laureate poete. Cum priuilegio; De civilitate morum puerilium. English and Latin","Etiquette, Medieval -- Early works to 1800.; Etiquette for children and teenagers -- Early works to 1800.",107, London
A00350,22918687,25891,STC 10470.8; ESTC S878,Free,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1532,De co[n]temptu mundi The dispisyng of the worlde / co[m]piled in Latyn by Erasmus Rot. ; and translated in to Englyshe by Thomas Paynell ...,Asceticism.; Monasticism and religious orders.,112,London
A00354,99841256,5825,STC 10473.5; ESTC S105528,Free,"Erasmus, Desiderius, d. 1536.",1537,"Declamatio in laudem nobilissimÃŒ_ artis medicinÃŒ_. = A declamacion in the prayse and co[m]me[n]dation of the most hygh and excellent science of phisyke, made by the ryght famous clerke doctour Erasmus of Rotherdam, and newly translated out of Latyn into Englyshe. Cum priuilegio regali; De laude medicinae. English",Medicine -- Early works to 1800.,48,  London
A00356,99845455,10357,STC 10474; ESTC S109811,Free,"Erasmus, Desiderius, d. 1536.; Hervet, Gentian, 1499-1584.",1526,"De immensa dei misericordia. A sermon of the excedynge great mercy of god, / made by ye moste famous doctour maister Eras. Rot. Translated out of Latine into Englisshe, at the request of the moste honorable and vertuous lady, the lady Margaret Countese of Salisbury.; De misericordia Domini English",God -- Mercy -- Early works to 1800.,102, London
A00358,23037037,26128,STC 10476.3; ESTC S2113,Free,"Erasmus, Desiderius, d. 1536.",1531,A treatise perswadynge a man patientlye to suffre the deth of his frende; De morte declamatio. English,Death -- Early works to 1800.,42,London
A00361,99844956,9815,STC 10477; ESTC S109306,Free,"Erasmus, Desiderius, d. 1536.; Roper, Margaret, 1505-1544.; Hyrde, Richard.",1526,"A deuoute treatise vpon the Pater noster, made fyrst in latyn by the moost famous doctour mayster Erasmus Roterodamus, and tourned in to englisshe by a yong vertuous and well lerned gentylwoman of. xix. yere of age",Lord's prayer -- Early works to 1800.,48, London
A00363,99841222,5786,STC 10479; ESTC S105494,Free,"Erasmus, Desiderius, d. 1536.; Tyndale, William, d. 1536.",1533,"A booke called in latyn Enchiridion militis christiani, and in englysshe the manuell of the christen knyght replenysshed with moste holsome preceptes, made by the famous clerke Erasmus of Roterdame, to the whiche is added a newe and meruaylous profytable preface.; Enchiridion militis Christiani. English","Spiritual life -- Modern period, 1500-.",343,  London
A00364,99836219,477,STC 1048; ESTC S100377,Free,"I. B., gentleman.; Smith, Thomas, Sir, 1513-1577. Offer and order given forth by sir Thomas Smyth knight, and Thomas Smyth hys sonne.",1572,"A letter sent by I.B. Gentleman vnto his very frende Maystet [sic] R.C. Esquire vvherin is conteined a large discourse of the peopling & inhabiting the cuntrie called the Ardes, and other adiacent in the north of Ireland, and taken in hand by Sir Thomas Smith one of the Queenes Maiesties priuie Counsel, and Thomas Smith Esquire, his sonne.","Smith, Thomas, -- Sir, 1513-1577 -- Early works to 1800.; Smith, Thomas, -- Sir, ca. 1556-1609 -- Early works to 1800.; Ireland -- Politics and government -- 16th century -- Early works to 1800.; Ireland -- Foreign relations -- England -- Early works to 1800.; England -- Foreign relations -- Ireland -- Early works to 1800.",62, London
A00374,99845541,10446,STC 10488; ESTC S109902,Free,"Erasmus, Desiderius, d. 1536.; Coverdale, Miles, 1488-1568.",1545,A shorte recapitulacion or abrigement of Erasmus Enchiridion brefely comprehendinge the summe and contents therof. Very profitable and necessary to be rede of all trew Christen men. Drawne out by M. Couerdale Anno. 1545; Enchiridion militis Christiani. English. Abridgments,"Spiritual life -- Modern period, 1500-.",74, Ausborch i.e. Antwerp
A00375,99837492,1817,STC 10489; ESTC S101684,Free,"Erasmus, Desiderius, d. 1536.",1534,"An epystell of ye famous doctor Erasm[us] of Roterdam vnto the reuerende father & excellent prince, Christofer bysshop of Basyle, co[n]cernyng the forbedynge of eatynge of flesshe, and lyke constitutyons of men. &c.; De interdicto esu carnium. English",Vegetarianism -- Religious aspects -- Early works to 1800.,136,  London
A00376,99845544,10449,STC 10490; ESTC S109905,Free,"Erasmus, Desiderius, d. 1536.",1547,"An epistle of the famous clerke Erasmus of Roterodame, concernynge the veryte of the sacrament of Christes body and bloude whyche epistle is set before the excellent boke, intytuled D. Algeri De veritate corporis et sanguinis dominici in Eucharistia.)[sic] which boke was made by the sayd Algerus aboute fyue hondred yeared passed. And nowe of late yeares, hath agayne ben ouer seen and reuysyted, by the sayde famous clerke Erasmus of Roterodame, and dedycated by hym, unto the Reuerende father Balthasar bysshop of Hyldesyn. This present epistle of Erasmus makynge is to be founde oute, in the great volume of all his epistles, pagina, 1577. Hauynge this lytell wrytynge ouer it. In Algerum.",Lord's Supper -- Early works to 1800.,36,London
A00377,99841259,5828,STC 10492; ESTC S105531,Free,"Erasmus, Desiderius, d. 1536.; Taverner, Richard, 1505?-1575.",1536,"A ryght frutefull epystle, deuysed by the moste excellent clerke Erasmns [sic], in laude and prayse of matrymony, translated in to Englyshe, by Rychard Tauernour, which translation he hathe dedicate to the ryght honorable Mayster Thomas Cromwel most worthy counseloure to our souerayne lorde kyng Henry the eyght. Cum priuilegio regali; Matrimonii encomium. English",Marriage -- Early works to 1800.,70,  London
A00378,99845547,10452,STC 10493; ESTC S109910,Free,"Erasmus, Desiderius, d. 1536.; Roy, William, fl. 1527-1531, attributed name.; Luther, Martin, 1483-1546. aut",1529,"An exhortation to the diligent studye of scripture, made by Erasmus Roterodamus. And tra[n]slated in to inglissh. An exposition in to the seventh chaptre of the first pistle to the Corinthians; Paraclesis. English","Bible. -- N.T. -- Corinthians, 1st VII -- Commentaries -- Early works to 1800.",156, Malborow i.e. Antwerp
A00380,99845556,10463,STC 10495; ESTC S109924,Free,"Erasmus, Desiderius, d. 1536.",1537,An exposicyon of the .xv. psalme made by mayster Erasmus of Rotherdame in whiche is full purely declared the pure and clene behauoure that ought to be in the pure churche of Chryst which is the multytude of all trewe chrysten people; De puritate ecclesiae Christi. English,"Bible. -- O.T. -- Psalms -- Criticism, interpretation, etc. -- Early works to 1800.",133,London
A00381,99845562,10469,STC 10498; ESTC S109931,Free,"Erasmus, Desiderius, d. 1536.",1535,"A lytle treatise of the maner and forme of confession, made by the most excellent and famous clerke, M. Eras. of Roterdame; Exomologesis. English",Confession -- Early works to 1800.,228, London
A00384,99837493,1818,STC 10500; ESTC S101685,Free,"Erasmus, Desiderius, d. 1536.; Chaloner, Thomas, Sir, 1521-1565.",1549,The praise of folie. = MoriÃŒ_ encomium a booke made in latine by that great clerke Erasmus Roterodame. Englisshed by sir Thomas Chaloner knight.; Moriae encomium. English,Folly -- Early works to 1800.,162, London
A00386,99845570,10477,STC 10503; ESTC S109940,Free,"Erasmus, Desiderius, d. 1536.; Cox, Leonard, fl. 1572.",1534,The paraphrase of Erasm[us] Roterdame vpon [the] epistle of sai[n]t Paule vnto his discyple Titus lately tra[n]slated into englysshe and fyrste a goodly prologue; Paraphrases in Novum Testamentum. English. Selections,,74,London
A00387,99837506,1832,STC 10504; ESTC S101698,Free,"Erasmus, Desiderius, d. 1536.; Marshall, William, fl. 1535.",1534,"A playne and godly exposytion or declaratio[n] of the co[m]mune crede (which in the Latin tonge is called Symbolum Apostolorum) and of the. x. co[m]maundementes of goddes law, newly made and put forth by the famouse clarke, Mayster. Erasmus of Roterdame, at the requeste of the moste honorable lorde, Thomas Erle of wyltshyre: father to the moste gratious and vertuous Quene Anne wyf to our most gracyous soueraygne lorde kynge Henry the. viii. Cum priuilegio.; Catechismus. English",Creeds -- Early works to 1800.; Ten commandments -- Early works to 1800.,357,  London
A00389,99851462,16736,STC 10505; ESTC S116245,Free,"Erasmus, Desiderius, d. 1536.",1538,"Preparation to deathe A booke as deuout as eloquent, compiled by Erasmus Roterodame.; De praeparatione ad mortem. English",Death -- Early works to 1800.,110,Londini
A00391,99855852,21359,STC 10507; ESTC S120657,Free,"Erasmus, Desiderius, d. 1536.",1543,"Here folowith a scorneful image or monstrus shape of a maruelous stra[n]ge fygure called, Sileni alcibiadis presentyng ye state [and] condicio[n] of this present world, [and] inespeciall of the spiritualite how farre they be from ye perfite trade and lyfe of Criste, wryte[n] in the laten tonge, by that famous clarke Erasmus, [and] lately translated in to Englyshe.; Adagia. Chil. III Cent. III. English",War -- Early works to 1800.,72,  London
A00392,99837514,1840,STC 10508; ESTC S101706,Free,"Erasmus, Desiderius, d. 1536.",1533,A sermon made: by the famous doctor Erasmus of Roterodame; Liturgia Virginis Lauretanae. English,"Sermons, English -- 16th century.",44,London
A00393,99845591,10500,STC 10509; ESTC S109962,Free,"Erasmus, Desiderius, d. 1536.",1536,[A ryght excellent sermon and full of frute and edificacyon of the chylde Jesus.]; Concio de puero Jesu. English,"Sermons, English -- 16th century.",52,  London
A00395,99855653,21155,STC 10511.5; ESTC S120456,Free,"Erbery, William, 1604-1654.",1640,"The great mystery of godliness Jesus Christ our Lord God and man, and man with God; one in Jesus Christ our Lord. By Mr. Erbury minister of the word.",Jesus Christ -- Mystical body -- Early works to 1800.,43,London
A00397,99847516,12553,STC 10512; ESTC S112258,Free,"Erondelle, Pierre, fl. 1586-1609.",1586,"A declaration and catholick exhortation to all Christian princes to succour the Church of God and realme of France. Written by Peter Erondelle, natife of Normandie. Faithfully translated out of the French","France -- History -- HenryIII, 1574-1589 -- Early works to 1800.; France -- Church History -- Early works to 1800.",26, London
A00400,99837510,1836,STC 10529; ESTC S101702,Free,"Escalante, Bernardino de, 16th cent.; Frampton, John, fl. 1577-1596.",1579,"A discourse of the nauigation which the Portugales doe make to the realmes and prouinces of the east partes of the worlde and of the knowledge that growes by them of the great thinges, which are in the dominions of China. Written by Barnardine of Escalanta, of the realme of Galisia priest. Translated out of Spanish into English, by Iohn Frampton.; Discurso de la navegacion que los portugueses hazen ÃŒÃŠ los reinos y provincias del Oriente. English","Asia -- Description and travel -- Early works to 1800.; Portugal -- History -- Period of discoveries, 1385-1580 -- Early works to 1800.",94,Im in London
A00401,99845963,10896,STC 1053; ESTC S110413,Free,"M. B., fl. 1596.",1596,"The triall of true friendship or perfit mirror, wherby to discerne a trustie friend from a flattering parasite. Otherwise, A knacke to know a knaue from an honest man: by a perfit mirrour of both: soothly to say; trie ere you trust; beleeue no man rashly. No lesse profitable in obseruing, then pleasant in reading. By M.B.",Conduct of life -- Early works to 1800.,37, London
A00402,99847687,12741,STC 10532; ESTC S112433,Free,"Flacius Illyricus, Matthias, 1520-1575.; Vergerio, Pietro Paolo, 1498-1565, attrib. name. aut; Baldwin, William, ca. 1518-1563?",1552,"Wonderfull newes of the death of Paule the. iii. last byshop of Rome [and] of diuerse thynges that after his death haue happened, wherein is trulye set ... the abominable actes of his most mischeuous life. Written in Latin by. P. Esquillus, and Englyshed by W. B. Londoner.; Epistola de morte","Paul, -- III, -- Popec1468-1549 -- Early works to 1800.; Catholic Church -- Clergy -- Controversial literature -- Early works to 1800.",42,London
A00403,24459255,27698,STC 10533.3; ESTC S2659,Free,Essex (England),1608,At a generall asse[m]blie of the iustices of the pea[ce] ...,Hotels -- England -- Essex.; Bars (Drinking establishments) -- England -- Essex.; Taverns (Inns) -- England -- Essex.; Essex (England) -- History.,1,Cambridge
A00405,99853787,19183,STC 10536.5; ESTC S118580,Free,"Est, William, 1546 or 7-1625.; Est, William, 1546 or 7-1625. Mirrour of mercy.",1611,Sathans sowing season. By William Est minister and preacher of Gods word in Bydeford.,"Devil -- Early works to 1800.; Theology, Doctrinal -- Early works to 1800.",100,London
A00408,99853788,19184,STC 10538; ESTC S118581,Free,"Est, William, 1546 or 7-1625.",1613,"The triall of true teares. Or the summons to repentance whereby the secure sinner is taught how to escape the terrible sentence of the supreame iudge. Meditated vpon Christes weeping ouer Ierusalem, very necessarie for these present times. By William Est, Maister of Arts, and preacher of Gods Word.","Bible. -- N.T. -- Luke XIX, 41-44 -- Early works to 1800.; Repentance -- Early works to 1800.",98,London
A00412,99837496,1821,STC 10541; ESTC S101688,Free,"Estella, Diego de, 1524-1578.; Cotton, George.",1584,"The contempte of the vvorld, and the vanitie thereof, written by the reuerent F. Diego de Stella, of the order of S. Fr. deuided into three bookes, and of late translated out of Italian into Englishe, vvith conuenient tables in the end of the booke; Vanidad del mundo. English",Asceticism -- Early works to 1800.,566,Rouen
A00414,99849740,14907,STC 10543; ESTC S114515,Free,"Estella, Diego de, 1524-1578.; Rogers, Thomas, d. 1616.",1608,"A methode vnto mortification: called heretofore, the contempt of the world, and the vanitie thereof Written at the first in the Spanish, afterward translated into the Italian, English, and Latine tongues: now last of all perused at the request of some of his godly friends, and as may bee most for the benefite of this Church, reformed and published by Thomas Rogers. Allowed by authoritie.; Vanidad del mundo. English",Spiritual life -- Catholic Church -- Early works to 1800.,500, London
A00419,99856540,22109,STC 10549; ESTC S121357,Free,"Estienne, Charles, 1504-ca. 1564.; LiÃŒÂ©bault, Jean, ca. 1535-1596. aut; Surflet, Richard, fl. 1600-1616.; Markham, Gervase, 1568?-1637.",1616,"Maison rustique, or The countrey farmeÃ¥Ã¡ Compyled in the French tongue by Charles Steuens, and Iohn Liebault, Doctors of Physicke. And translated into English by Richard Surflet, practitioner in physicke. Now newly reuiewed, corrected, and augmented, with diuers large additions, out of the works of Serres his Agriculture, Vinet his Maison champestre, French. Albyterio in Spanish, Grilli in Italian; and other authors. And the husbandrie of France, Italie, and Spaine, reconciled and made to agree with ours here in England: by Geruase Markham. The whole contents are in the page following; Agriculture et maison rustique. English",Agriculture -- Early works to 1800.; Hunting -- Early works to 1800.,746,London
A00423,99837550,1877,STC 10552; ESTC S101744,Free,"Estienne, Henri, 1531-1598.; North, George, gentleman.",1581,"The stage of popish toyes conteining both tragicall and comicall partes: played by the Romishe roysters of former age: notably describing them by degrees in their colours. Collected out of H. Stephanus in his Apologie vpon Herodot. With a friendlie forewarning to our Catelin Catholikes: and a brief admonition, of the sundrie benefites we receiue by hir Ma: blessed gouernement ouer vs. Compyled by G.N.; Apologia pro Herodoto. English. Selections",Catholic Church -- Controversial literature.,99,London
A00426,99857357,23080,STC 10558; ESTC S122205,Free,"Estwick, Nicolas.",1639,"A learned and godly sermon preached on the XIX. day of December, anno Dom. MDCXXXI. at the funerall of Mr. Robert Bolton Batchelour in Divinity and minister of Broughton in Northampton-Shire. By Mr. Nicolas Estvvick, Batchelour in Divinity, and sometimes fellow of Christs College in Cambridge, and now minister of Warkton in Northampton-Shire. Revised and somewhat enlarged by the author, and now at the importunity of some friends published","Bolton, Robert, 1572-1631.; Funeral sermons -- Early works to 1800.; Sermons, English -- 17th century.",72,London
A00429,99842412,7062,STC 10560; ESTC S106699,Free,"Euclid.; Dee, John, 1527-1608.; Candale, FranÃŒÂ¤ois de Foix, comte de, 1502-1594.; Billingsley, Henry, Sir, d. 1606.",1570,"The elements of geometrie of the most auncient philosopher Euclide of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, citizen of London. Whereunto are annexed certaine scholies, annotations, and inuentions, of the best mathematiciens, both of time past, and in this our age. With a very fruitfull prÃŒ_face made by M. I. Dee, specifying the chiefe mathematicall scie[n]ces, what they are, and wherunto commodious: where, also, are disclosed certaine new secrets mathematicall and mechanicall, vntill these our daies, greatly missed; Elements. English",Geometry -- Early works to 1800.,884, London
A00430,99837551,1878,STC 10561; ESTC S101746,Free,"Eudes, Morton.; Owen, Lewis, 1572-1633.",1609,"Catholique traditions. Or A treatise of the beliefe of the Christians of Asia, Europa, and Africa, in the principall controuersies of our time In fauour of the louers of the catholicke trueth, and the peace of the Church. Written in French by Th. A.I.C. and translated into English, by L.O.; Tradition catholique. English","Theology, Doctrinal -- Early works to 1800.",254,London
A00437,99837582,1914,STC 10566; ESTC S101779,Free,"Eunapius, ca. 345-ca. 420.; Junius, Hadrianus, 1511-1575.",1579,"The lyves, of philosophers and oratours: vvritten in Greeke, by Eunapius, of the cittie of Sardeis in Lydia. Brought into light, translated into Latine, and dedicated to the Queenes most excellent Maiestie, our moste gracious princesse and soueraigne, Queene Elizabeth. By the great learned man, Hadrianus Iunius Hornanus. 1568. And now set foorth in English, at his request: and dedicated to the right Honourable, the Lord Chauncellour of England. 1579; Vitae sophistarum. English",,112, London
A00439,99849834,15006,STC 10570; ESTC S114609,Free,,1625,"Querimonia EuropÃŒ_ diuisa in libros duos, quorum jam exit primus.","Latin poetry, Medieval and modern -- Early works to 1800.",158,Londini
A00440,99856557,22127,STC 10572; ESTC S121374,Free,"Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340.; Hanmer, Meredith, 1543-1604.; Socrates, Scholasticus, ca. 379-ca. 440. Ecclesiastical history. English. aut; Evagrius, Scholasticus, b. 536? Ecclesiastical history. English. aut; Dorotheus, Saint, 255-362, attributed name. aut",1577,"The auncient ecclesiasticall histories of the first six hundred yeares after Christ, wrytten in the Greeke tongue by three learned historiographers, Eusebius, Socrates, and Euagrius. Eusebius Pamphilus Bishop of CÃŒ_sarea in PalÃŒ_stina vvrote 10 bookes. Socrates Scholasticus of Constantinople vvrote 7 bookes. Euagrius Scholasticus of Antioch vvrote 6 bookes. VVhereunto is annexed Dorotheus Bishop of Tyrus, of the liues of the prophetes, apostles and 70 disciples. All which authors are faithfully translated out of the Greeke tongue by Meredith Hanmer, Maister of Arte and student in diuinitie. Last of all herein is contayned a profitable chronographie collected by the sayd translator, the title whereof is to be seene in the ende of this volume, with a copious index of the principall matters throughout all the histories; Ecclesiastical history. English","Church history -- Primitive and early church, ca. 30-600 -- Early works to 1800.",618, London
A00446,99837597,1929,STC 10579; ESTC S101794,Free,"Eutropius, 4th cent.; Haward, Nicholas.",1564,"A briefe chronicle, where in are described shortlye the originall, and the successiue estate of the Romaine weale publique the alteratyon and chaunge of sondrye offices in the same: the order and successyon of the kinges, consuls and emperoures therof, together wyth sondry gestes & actes of many famous princes and valiaunt captaines, from the first foundatyon of the city of Rome, vnto the. M.C. and. xix. yeare there of consequently: ryght plesant and profitable to be red, marked and folowed of all men. Collected and gathered first by Eutropius, and Englished by Nicolas Havvard, studiente of Thauies In. Anno. 1564.; Breviarium ab urbe condita. English",Rome -- History -- Early works to 1800.,274, London
A00448,99849835,15007,STC 10583; ESTC S114610,Free,"Evans, Edward, b. 1573.",1615,"Verba dierum, or, The dayes report of Gods glory As it hath beene delivered some yeeres since, at foure sermons, or lectures vpon one text, in the famous University of Oxford; and since that time somewhat augmented; and is now commended vnto all times to be augmented and amended. By Edward Evans, priest and minister of the Lord our God.","Bible. -- O.T. -- Psalms XIX -- Commentaries -- Early works to 1800.; Sermons, English -- 17th century.",188, Oxford
A00452,99856038,21554,STC 10586; ESTC S120845,Free,"Evans, John, minister of Gods word.",1630,"The sacrifice of a contrite heart in teares, meditations, and prayers. Penned by Iohn Euans minister of Gods word.","Sermons, English -- 17th century.; Prayers -- Early works to 1800.",374,London
A00454,99853534,18919,STC 10588; ESTC S118327,Free,"Evans, Lewis, fl. 1574.",1568,[The abridgement of logique],Logic -- Early works to 1800.,47,London
A00455,99837587,1919,STC 10589; ESTC S101784,Free,"Evans, Lewis, fl. 1574.",1565,A brieue admonition vnto the nowe made ministers of Englande wherein is shewed some of the fruicte of this theyr late framed fayth: made by Lewys Euans student in Louain. 24. Aug. 1565.,Church of England -- Clergy -- Early works to 1800.,34,Antverpi
A00457,99837572,1904,STC 10590; ESTC S101769,Free,"Evans, Lewis, fl. 1574.",1568,"The castle of Christianitie detecting the long erring estate, asvvell of the Romaine Church, as of the Byshop of Rome: together with the defence of the catholique faith: set forth, by Lewys Euans.",Catholic Church -- Controversial literature.,177, London
A00458,99837575,1907,STC 10591; ESTC S101772,Free,"Evans, Lewis, fl. 1574.",1570,"The hatefull hypocrisie, and rebellion of the Romishe prelacie. By Lewys Euans",Catholic Church -- Controversial literature.,82, London
A00459,99850013,15196,STC 10595; ESTC S114790,Free,"Evans, William, b. 1598 or 9.",1636,"The Christian conflict and conquest set forth in a sermon at Pauls-crosse, upon Sunday the 19th of Iuly, 1635. By W.E.B.D. of St Mary Hall in Oxford","Sermons, English -- 17th century -- Early works to 1800.",78,Oxford
A00460,99841287,5861,STC 10597.5; ESTC S105560,Free,"Evans, William, poet.",1602,Pietatis lachrymÃŒ_. = Teares of deuotion,,64,London
A00461,99849844,15016,STC 10598; ESTC S114619,Free,"Everard, John, 1575?-1650?",1618,"The arriereban a sermon preached to the company of the military yarde, at St. Andrewes Church in Holborne at St. Iames his day last. By Iohn Everarde student in Diuinity, and lecturer at Saint Martins in the fields.","Sermons, English -- 17th century.",124,London
A00462,99849847,15019,STC 10599; ESTC S114622,Free,"Everard, John, 1575?-1650?",1622,"Somewhat vvritten by occasion of three sunnes seene at Tregnie in Cornewall, the 22. of December last. With other memorable occurents in other places.","Marvelous, The -- Early works to 1800.",26,London
A00465,99857160,22843,STC 10600; ESTC S122007,Free,"Everard, John, b. 1587.",1611,"Britanno-Romanus, siue Angligenarum in Collegio Romano vitÃŒ_ ratio. Autore, Iohanne Euerardo","Venerable English College (Rome, Italy) -- Early works to 1800.; Catholic Church -- Controversial literature -- Early works to 1800.; Catholics -- England -- Early works to 1800.",80,Londini
A00472,99837603,1935,STC 10607; ESTC S101800,Free,"Ewich, Johann von, 1525-1588.; Stockwood, John, d. 1610.",1583,"The duetie of a faithfull and wise magistrate, in preseruing and deliuering of the eommon [sic] wealth from infection, in the time of the plague or pestilence two bookes. Written in Latine by Iohn Ewich, ordinary phisition of the woorthie common wealth of Breame, and newlie turned into English by Iohn Stockwood schoolemaister of Tunbridge. ...; De officio fidelis et prudentis magistratus tempore pestilentiae rempublican a contagio praeservandi liberandique. English",Plague -- Government policy -- Early works to 1800.,274, London
A00475,99849864,15036,STC 10610.5; ESTC S114639,Free,,1638,"A most notable example of an vngracious son, who in the pride of his heart denyed his owne father and how God for his offence, turned his meat into loathsome toades. To the tune of Lord Darley.; Most notable and worthy example of an ungratious sonne, who in the pride of his hart denied his owne father.","Ballads, English -- 17th century.",2,London
A00476,99857028,22695,STC 10610; ESTC S121868,Free,,1610,"A most notable and worthy example of an vngratious sonne, who in the pride of his hart denied his owne father and how God for his offence turned his meate into loathsome toades. To the tune of Lord Darley.",,1,London
A00477,99850019,15202,STC 10611; ESTC S114796,Free,"Johnson, Jacob, of Dort in Holland.; Haget, Peter van.; Philips, Martin.",1592,"The most rare, strange and wonderfull example of Almightie God, shewed in the citie of Telonne in Prouence, on a cruell Papisticall bishop with the preseruation of the ladie Deormoga, whose life he vowed to haue, his miserable and lamentable ende, and may serue for a most strange example. Also the burning of the church at Argere, with diuers hurts done by lightning, buring a ship of bread and corne, arrested by the gouernour, bound for the reliefe of Telonne, With the great plague of rattes, that filled the whole cittie, a warning to let vs all know our heauenly Father and redeemer, and to repent vs of our sinnes. Witnesse these whose names are here set downe: Iacob Iohnson of Dort in Holland. Peter van Haget of Ancusa marchant. Martin Philips pilot of Dort.","Deormoga, -- Madam.",8, London
A00478,99849867,15039,STC 10612; ESTC S114642,Free,,1635,"A worthy example of a vertuous wife who fed her father with her own milk, being condemned to be famished to death and after was pardoned by the Emperor. To the tune of Flying fame.","Ballads, English -- 17th century.",2,London
A00483,99845132,10017,STC 10620; ESTC S109485,Free,Church of England.; Church of England. Litany. 1544.,1544,"An exhortation vnto prayer thought mete by the kinges maiestie, and his clergy, to be read to the people in euery church afore processyions. Also a letanie with suffrages to be said or song in the tyme of the said processyons.",Prayer -- Early works to 1800.,42, London
A00489,99842419,7069,STC 10627; ESTC S106706,Free,,1580,A good exhortation to euery man what he should doo when he goeth to bed and when he riseth To a new northen tune.,,1, London
A00499,29733692,28092,STC 10634.6; ESTC S3032,Free,France. Conseil du roi.,1600,An extract translated out of the French copie and taken out of the registers of the French kings priuie councell.,Woolen goods industry -- France -- Rouen.; France -- Commerce -- England.; Great Britain -- Commerce -- France.; Broadsides -- London (England) -- 16th century.,1, London
A00505,99837606,1938,STC 10638; ESTC S101803,Free,G. B. A. F.,1591,"A discouery of the great subtiltie and wonderful wisedome of the Italians whereby they beare sway ouer the most part of Christendome, and cunninglie behaue themselues to fetch the quintescence out of the peoples purses: discoursing at large the meanes, howe they prosecute and continue the same: and last of all, conuenient remedies to preuent all their pollicies herein.; TraitÃŒÂ© de la grande prudence et subtilitÃŒÂ© des Italiens. English",Catholic Church -- Controversial literature.; Italy,108,London
